cluster,,,,,,,,,,RCP Rain-fed Low,MZE Irrigation High,RCP Rain-fed High,MZE Irrigation Low,MZE Rain-fed High,CON Rain-fed High,TOM Irrigation Low,MZE Rain-fed Low,SGC Rain-fed High,CON Rain-fed Low,CON Irrigation Low,RCP Irrigation Low,SGC Irrigation Low,RCP Irrigation High,SGC Irrigation High,CON Irrigation High,TOM Irrigation High,SGC Rain-fed Low,TOM Rain-fed High,TOM Rain-fed Low,OTH Irrigation Low,OTH Irrigation High,OTH Rain-fed Low,OTH Rain-fed High
1,,,,,,,,,,0.0008,0.0871,0.0072,0.0065,0.0011,0.0,0.0181,0.0014,0.0646,0.0,0.0,0.0081,0.0013,0.0955,0.1248,0.0006,0.0684,0.0069,0.0069,0.0013,0.0098,0.0653,0.0149,0.0097
2,,,,,,,,,,0.0015,0.0327,0.0019,0.0017,0.0011,0.0005,0.0009,0.0011,0.0158,0.0001,0.0002,0.001,0.0034,0.0385,0.0508,0.0087,0.0314,0.0116,0.0024,0.0004,0.0036,0.0331,0.0064,0.0038
3,,,,,,,,,,0.0027,0.0578,0.0018,0.0036,0.001,0.0018,0.0082,0.001,0.0337,0.002,0.0034,0.0026,0.0089,0.0742,0.0807,0.0398,0.0505,0.0054,0.0014,0.0012,0.0062,0.0503,0.0034,0.0059
4,,,,,,,,,,0.0012,0.029,0.0022,0.0016,0.001,0.0015,0.0031,0.001,0.0154,0.0005,0.0006,0.0018,0.0019,0.0355,0.0536,0.0165,0.0342,0.0029,0.0014,0.0009,0.0022,0.0305,0.0024,0.0038
5,,,,,,,,,,0.0057,0.2136,0.0016,0.0325,0.002,0.0041,0.0594,0.001,0.136,0.0168,0.0445,0.0265,0.0691,0.2259,0.2317,0.1569,0.1568,0.0327,0.0014,0.0018,0.0549,0.1735,0.0244,0.0306
6,,,,,,,,,,0.0034,0.0861,0.0015,0.005,0.0011,0.0032,0.0173,0.0011,0.0599,0.0049,0.005,0.0042,0.0223,0.1024,0.1004,0.0479,0.0703,0.0334,0.0013,0.0011,0.0181,0.0686,0.0149,0.0107
7,,,,,,,,,,0.001,0.3528,0.001,0.1286,0.0044,0.0511,0.1618,0.0014,0.3264,0.1744,0.1099,0.0815,0.1536,0.3762,0.375,0.3027,0.2497,0.3034,0.0029,0.0036,0.1361,0.3235,0.228,0.0977
8,,,,,,,,,,0.001,0.0039,0.0017,0.001,0.001,0.0011,0.0001,0.001,0.0016,0.001,0.001,0.001,0.001,0.0082,0.0132,0.0024,0.0054,0.001,0.0011,0.0001,0.001,0.0053,0.001,0.0012
