year,technology_group,observed_generation_pj,baseline_generation_pj,candidate_generation_pj,baseline_error_pj,candidate_error_pj,observed_share_percent,baseline_share_percent,candidate_share_percent,observed_capacity_gw,candidate_total_capacity_gw,candidate_new_capacity_gw
2020,coal,209.4336,299.332,226.32219999999998,89.89839999999998,16.88859999999997,57.17205865010418,79.95341668825775,60.45203429321463,10.944,10.9439,0.0
2020,gas,70.1892,4.5148,77.52470000000002,-65.6744,7.335500000000025,19.160540901765007,1.2059308248504874,20.707318252346337,3.453,3.4525,0.0
2020,oil,8.9064,0.0,0.0,-8.9064,-8.9064,2.431306262038602,0.0,0.0,4.237,4.2366,0.0
2020,biomass,4.5396,0.0,0.0,-4.5396,-4.5396,1.2392389637957468,0.0,0.0,0.484,0.4474,0.0
2020,hydro,25.8912,19.075799999999987,19.075799999999987,-6.815400000000015,-6.815400000000015,7.06788788867487,5.095263406725195,5.095262045749392,3.779,3.7793,0.0
2020,geothermal,38.7252,42.5636,42.56359999999997,3.8384,3.8383999999999716,10.571366799009397,11.368999126562905,11.368996089834177,1.928,1.9281,0.0
2020,solar,4.9428,5.827600000000002,5.827600000000002,0.884800000000002,0.884800000000002,1.3493061834191598,1.5565877724148807,1.5565873566408321,1.019,1.0193,0.0
2020,wind,3.6936,3.0691999999999995,3.0691999999999995,-0.6244000000000005,-0.6244000000000005,1.00829435119305,0.8198021811887826,0.8198019622146404,0.443,0.4429,0.0
2021,coal,223.3872,301.05850000000004,242.91679999999997,77.67130000000003,19.52959999999996,58.47618150120153,80.70970526575411,65.34226596363358,11.669,11.498099999999999,0.5542
2021,gas,68.616,1.4192999999999998,58.30750000000002,-67.19669999999999,-10.308499999999981,17.96164538472412,0.3804951020605124,15.684152650926436,3.453,3.4525,0.0
2021,oil,5.8176,0.0,0.0,-5.8176,-5.8176,1.522876124958771,0.0,0.0,3.847,4.2366,0.0
2021,biomass,5.202,0.0,0.0,-5.202,-5.202,1.3617301983696932,0.0,0.0,0.489,0.4474,0.0
