cluster,,,,,,,,,,SGC Irrigation High,SGC Rain-fed High,MZE Irrigation High,MZE Irrigation Low,TOM Rain-fed Low,TOM Rain-fed High,CON Irrigation High,TOM Irrigation Low,TOM Irrigation High,MZE Rain-fed Low,CON Rain-fed High,SGC Rain-fed Low,SGC Irrigation Low,RCP Irrigation High,RCP Irrigation Low,MZE Rain-fed High,RCP Rain-fed Low,CON Rain-fed Low,RCP Rain-fed High,CON Irrigation Low,OTH Irrigation Low,OTH Irrigation High,OTH Rain-fed Low,OTH Rain-fed High
1,,,,,,,,,,0.9022,0.9451,0.4578,0.5065,0.3085,0.4463,0.0206,0.2978,0.4035,0.3585,0.0214,0.377,0.3951,0.41,0.3633,0.5317,0.211,0.0054,0.4649,0.0054,0.5052,0.5891,0.4868,0.611
2,,,,,,,,,,1.0507,1.0414,0.4181,0.4237,0.1701,0.421,0.2356,0.1697,0.4082,0.4164,0.2352,0.9075,0.946,0.4892,0.4565,0.4539,0.4674,0.0832,0.496,0.0857,0.7686,0.8062,0.7349,0.8014
3,,,,,,,,,,1.1588,1.1384,0.4514,0.4636,0.3901,0.4106,0.8476,0.3962,0.3925,0.455,0.8307,1.0386,1.0627,0.5198,0.5374,0.4997,0.5154,0.7604,0.5203,0.7656,0.8536,0.9224,0.838,0.9055
4,,,,,,,,,,1.1425,1.1415,0.4582,0.4498,0.2507,0.4506,0.6539,0.251,0.4294,0.4188,0.646,0.9451,0.9741,0.5381,0.5151,0.4899,0.4815,0.4104,0.5432,0.4151,0.8106,0.891,0.7917,0.884
5,,,,,,,,,,1.0502,1.0403,0.3137,0.4435,0.3633,0.3783,0.7669,0.3627,0.3173,0.4508,0.8173,1.0323,1.0115,0.3914,0.5304,0.4614,0.453,0.7635,0.4781,0.7513,0.8154,0.8316,0.8312,0.8683
6,,,,,,,,,,1.0841,1.0513,0.3951,0.438,0.3697,0.3729,0.5612,0.3712,0.3492,0.4336,0.565,0.9728,1.0023,0.4605,0.509,0.4689,0.4578,0.3635,0.4783,0.3646,0.8054,0.8538,0.7932,0.8513
7,,,,,,,,,,0.9066,0.868,0.1762,0.378,0.3434,0.3438,0.5869,0.2978,0.2078,0.434,0.74,0.8292,0.9744,0.2604,0.4935,0.4268,0.3971,0.5932,0.4802,0.6506,0.7698,0.6783,0.6652,0.7322
8,,,,,,,,,,1.239,1.2353,0.5097,0.4543,0.0348,0.4492,0.9053,0.0351,0.436,0.4459,0.8954,1.0339,1.0585,0.5936,0.5266,0.5265,0.5177,0.7828,0.6013,0.7846,0.8481,0.9783,0.8396,0.974
