REGION,FUEL,YEAR,VALUE
GLOBAL,CRPCON,2020,14.49092269
GLOBAL,CRPCON,2021,14.705384532642196
GLOBAL,CRPCON,2022,14.919846375284397
GLOBAL,CRPCON,2023,15.134308217926593
GLOBAL,CRPCON,2024,15.348770060568791
GLOBAL,CRPCON,2025,15.56323190321099
GLOBAL,CRPCON,2026,15.762222976056467
GLOBAL,CRPCON,2027,15.961214048901946
GLOBAL,CRPCON,2028,16.160205121747424
GLOBAL,CRPCON,2029,16.359196194592904
GLOBAL,CRPCON,2030,16.55818726743838
GLOBAL,CRPCON,2031,16.742206276166343
GLOBAL,CRPCON,2032,16.9262252848943
GLOBAL,CRPCON,2033,17.110244293622266
GLOBAL,CRPCON,2034,17.294263302350227
GLOBAL,CRPCON,2035,17.47828231107819
GLOBAL,CRPCON,2036,17.644615664719026
GLOBAL,CRPCON,2037,17.810949018359864
GLOBAL,CRPCON,2038,17.9772823720007
GLOBAL,CRPCON,2039,18.14361572564154
GLOBAL,CRPCON,2040,18.30994907928238
GLOBAL,CRPCON,2041,18.45789698642569
GLOBAL,CRPCON,2042,18.605844893569007
GLOBAL,CRPCON,2043,18.75379280071232
GLOBAL,CRPCON,2044,18.90174070785563
GLOBAL,CRPCON,2045,19.049688614998946
GLOBAL,CRPCON,2046,19.17708428461946
GLOBAL,CRPCON,2047,19.304479954239973
GLOBAL,CRPCON,2048,19.431875623860492
GLOBAL,CRPCON,2049,19.559271293481004
GLOBAL,CRPCON,2050,19.686666963101516
GLOBAL,CRPCON,2051,19.686666963101516
GLOBAL,CRPCON,2052,19.686666963101516
GLOBAL,CRPCON,2053,19.686666963101516
GLOBAL,CRPMZE,2020,8.11854588
GLOBAL,CRPMZE,2021,8.238698222693921
GLOBAL,CRPMZE,2022,8.358850565387845
GLOBAL,CRPMZE,2023,8.479002908081767
GLOBAL,CRPMZE,2024,8.59915525077569
GLOBAL,CRPMZE,2025,8.719307593469615
GLOBAL,CRPMZE,2026,8.83079243050634
GLOBAL,CRPMZE,2027,8.942277267543066
GLOBAL,CRPMZE,2028,9.053762104579791
GLOBAL,CRPMZE,2029,9.165246941616518
