REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2035,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2035,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2036,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2036,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2036,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2036,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2037,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2037,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2037,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2037,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2038,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2038,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2038,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2038,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2039,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2039,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2039,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2039,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2040,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2040,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2040,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2040,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2041,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2041,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2041,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2041,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2042,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2042,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2042,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2042,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2043,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2043,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2043,S1D2,1.9710313
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2043,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2044,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2044,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2044,S1D2,1.8594786
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2044,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2045,S2D2,1.7460466
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2045,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2045,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2045,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2046,S2D2,1.649429
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2046,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2046,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2046,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2047,S2D2,1.5529468
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2047,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2047,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2047,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2048,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2048,S2D1,1.4563293
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2048,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2048,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2049,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2049,S2D1,1.3597118
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2049,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2049,S1D1,2.082584
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2020,S1D1,87.2261664
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2020,S1D1,36.344236
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2021,S1D1,87.2261664
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2021,S1D1,36.344236
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2022,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2022,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2023,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2023,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2024,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2024,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2025,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2025,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2026,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2026,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2027,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2027,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2028,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2028,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2029,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2029,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2030,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2030,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2031,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2031,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2032,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2032,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2033,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2033,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2034,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2034,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2035,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2035,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2036,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2036,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2037,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2037,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2038,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2038,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2039,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2039,S2D1,36.548335
