REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWROTHPHLXX01,CO2PHL,2,2050,45.87221565476779
GLOBAL,PWROTHPHLXX01,CO2PHL,2,2051,50.2045543476863
GLOBAL,PWROTHPHLXX01,CO2PHL,2,2052,54.53588725951039
GLOBAL,PWROTHPHLXX01,CO2PHL,2,2053,58.867723744603595
