REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S1D2,ELCPHLXX02,2042,409.7864
GLOBAL,S2D1,ELCPHLXX02,2042,481.0536000000001
GLOBAL,S2D2,ELCPHLXX02,2042,409.7864
GLOBAL,S1D1,ELCPHLXX02,2043,492.6933
GLOBAL,S1D2,ELCPHLXX02,2043,419.7017
GLOBAL,S2D1,ELCPHLXX02,2043,492.6933
GLOBAL,S2D2,ELCPHLXX02,2043,419.7017
GLOBAL,S1D1,ELCPHLXX02,2044,504.3303000000001
GLOBAL,S1D2,ELCPHLXX02,2044,429.6147
GLOBAL,S2D1,ELCPHLXX02,2044,504.3303000000001
GLOBAL,S2D2,ELCPHLXX02,2044,429.6147
GLOBAL,S1D1,ELCPHLXX02,2045,515.97
GLOBAL,S1D2,ELCPHLXX02,2045,439.53000000000003
GLOBAL,S2D1,ELCPHLXX02,2045,515.97
GLOBAL,S2D2,ELCPHLXX02,2045,439.53000000000003
GLOBAL,S1D1,ELCPHLXX02,2046,528.39
GLOBAL,S1D2,ELCPHLXX02,2046,450.11
GLOBAL,S2D1,ELCPHLXX02,2046,528.39
GLOBAL,S2D2,ELCPHLXX02,2046,450.11
GLOBAL,S1D1,ELCPHLXX02,2047,540.8127000000001
GLOBAL,S1D2,ELCPHLXX02,2047,460.69230000000005
GLOBAL,S2D1,ELCPHLXX02,2047,540.8127000000001
GLOBAL,S2D2,ELCPHLXX02,2047,460.69230000000005
GLOBAL,S1D1,ELCPHLXX02,2048,553.2327000000001
GLOBAL,S1D2,ELCPHLXX02,2048,471.2723000000001
GLOBAL,S2D1,ELCPHLXX02,2048,553.2327000000001
GLOBAL,S2D2,ELCPHLXX02,2048,471.2723000000001
GLOBAL,S1D1,ELCPHLXX02,2049,565.6554
GLOBAL,S1D2,ELCPHLXX02,2049,481.8546
GLOBAL,S2D1,ELCPHLXX02,2049,565.6554
GLOBAL,S2D2,ELCPHLXX02,2049,481.8546
GLOBAL,S1D1,ELCPHLXX02,2050,578.0754000000001
GLOBAL,S1D2,ELCPHLXX02,2050,492.4346
GLOBAL,S2D1,ELCPHLXX02,2050,578.0754000000001
GLOBAL,S2D2,ELCPHLXX02,2050,492.4346
GLOBAL,S1D1,ELCPHLXX02,2051,591.5538
GLOBAL,S1D2,ELCPHLXX02,2051,503.91620000000006
GLOBAL,S2D1,ELCPHLXX02,2051,591.5538
GLOBAL,S2D2,ELCPHLXX02,2051,503.91620000000006
GLOBAL,S1D1,ELCPHLXX02,2052,605.0295
GLOBAL,S1D2,ELCPHLXX02,2052,515.3955
GLOBAL,S2D1,ELCPHLXX02,2052,605.0295
GLOBAL,S2D2,ELCPHLXX02,2052,515.3955
GLOBAL,S1D1,ELCPHLXX02,2053,618.5052000000001
GLOBAL,S1D2,ELCPHLXX02,2053,526.8748
GLOBAL,S2D1,ELCPHLXX02,2053,618.5052000000001
GLOBAL,S2D2,ELCPHLXX02,2053,526.8748
