cluster,,,,,,,,,,TOM Rain-fed High,CON Irrigation Low,SGC Rain-fed High,MZE Rain-fed High,TOM Irrigation High,SGC Irrigation High,MZE Irrigation Low,CON Rain-fed High,SGC Irrigation Low,MZE Irrigation High,RCP Rain-fed High,TOM Rain-fed Low,TOM Irrigation Low,RCP Rain-fed Low,MZE Rain-fed Low,CON Irrigation High,RCP Irrigation Low,SGC Rain-fed Low,RCP Irrigation High,CON Rain-fed Low,OTH Irrigation Low,OTH Irrigation High,OTH Rain-fed Low,OTH Rain-fed High
1,,,,,,,,,,0.3708,0.0009,0.7606,0.5293,0.3988,0.8102,0.1919,0.0109,0.1485,0.5374,0.6242,0.0817,0.0853,0.0792,0.1067,0.011,0.1431,0.1481,0.6979,0.0009,0.156,0.5294,0.136,0.487
2,,,,,,,,,,0.3211,0.0142,1.1071,0.4653,0.3375,1.1364,0.1653,0.1161,0.3512,0.4672,0.7645,0.0326,0.0326,0.189,0.1606,0.1172,0.1862,0.3497,0.8055,0.0142,0.2495,0.692,0.2485,0.6686
3,,,,,,,,,,0.2783,0.1293,0.8078,0.4948,0.2907,0.8319,0.1943,0.4487,0.2719,0.4975,0.7955,0.0732,0.074,0.2035,0.1887,0.4533,0.2131,0.2702,0.8565,0.129,0.2805,0.6521,0.2786,0.6235
4,,,,,,,,,,0.28,0.0697,0.9781,0.4578,0.2908,0.9966,0.1704,0.3267,0.315,0.4591,0.7626,0.0441,0.0445,0.1852,0.1527,0.3289,0.2006,0.3133,0.8006,0.0696,0.2486,0.6652,0.2441,0.6473
5,,,,,,,,,,0.3562,0.136,0.7675,0.5463,0.3897,0.8658,0.231,0.4679,0.2875,0.5629,0.7922,0.1469,0.1536,0.2484,0.2233,0.486,0.2801,0.2859,0.9031,0.1357,0.332,0.6749,0.3208,0.57
6,,,,,,,,,,0.4491,0.0615,0.9574,0.5924,0.4682,0.9997,0.2291,0.2861,0.3265,0.5975,0.8222,0.1607,0.1706,0.2394,0.2225,0.301,0.2629,0.3254,0.8984,0.0565,0.3336,0.6961,0.3177,0.6327
7,,,,,,,,,,0.407,0.1281,0.5578,0.8258,0.4825,0.876,0.2445,0.306,0.2935,0.9249,0.7747,0.1502,0.1894,0.2382,0.2319,0.4418,0.2892,0.2941,0.9145,0.1053,0.3406,0.6854,0.3014,0.4322
8,,,,,,,,,,0.1471,0.138,0.8033,0.3978,0.1478,0.8097,0.1588,0.3821,0.2669,0.3979,0.6522,0.0038,0.0038,0.1844,0.1543,0.3829,0.1892,0.2654,0.6607,0.1378,0.2188,0.627,0.2178,0.6221
