run,region,year,mode,account,commodity,unit,reference_available,terminal_counted,unaccounted_gap,coverage_percent,status
Base_v12,RE1,2031,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.685900000000018,0.0,20.685900000000018,0.0,ZERO
Base_v12,RE1,2031,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,267.44759999999985,0.0,267.44759999999985,0.0,ZERO
Base_v12,RE1,2032,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,388.5395999999999,0.0,388.5395999999999,0.0,ZERO
Base_v12,RE1,2032,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.717099999999977,0.0,20.717099999999977,0.0,ZERO
Base_v12,RE1,2032,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,265.73580000000004,0.0,265.73580000000004,0.0,ZERO
Base_v12,RE1,2033,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,387.3303999999999,0.0,387.3303999999999,0.0,ZERO
Base_v12,RE1,2033,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.74849999999997,0.0,20.74849999999997,0.0,ZERO
Base_v12,RE1,2033,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,264.3621000000001,0.0,264.3621000000001,0.0,ZERO
Base_v12,RE1,2034,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,386.12389999999994,0.0,386.12389999999994,0.0,ZERO
Base_v12,RE1,2034,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.779799999999994,0.0,20.779799999999994,0.0,ZERO
