run,crop,year,demand_Mt,production_Mt,absolute_error_Mt,relative_error,status
Base_v12,CRPCON,2020,14.49092269,14.490999999999998,7.730999999822075e-05,5.335064001933527e-06,PASS
Base_v12,CRPCON,2030,16.55818726743838,16.557800000000004,-0.00038726743837713684,-2.3388275064305917e-05,PASS
Base_v12,CRPCON,2050,19.686666963101516,19.68659999999999,-6.696310152420892e-05,-3.401444320144038e-06,PASS
Base_v12,CRPCON,2053,19.686666963101516,19.686600000000002,-6.696310151355078e-05,-3.401444319602649e-06,PASS
Base_v12,CRPMZE,2020,8.11854588,8.119199999999998,0.0006541199999983149,8.057107881963648e-05,PASS
Base_v12,CRPMZE,2030,9.276731778653243,9.276599999999998,-0.00013177865324465188,-1.4205288714705401e-05,PASS
Base_v12,CRPMZE,2050,11.029463919127425,11.029800000000005,0.0003360808725805242,3.047118835918116e-05,PASS
Base_v12,CRPMZE,2053,11.029463919127425,11.029800000000005,0.0003360808725805242,3.047118835918116e-05,PASS
Base_v12,CRPOTH,2020,10.099485119999999,10.100000000000003,0.0005148800000043252,5.098081673339059e-05,PASS
Base_v12,CRPOTH,2030,11.540270381614146,11.540400000000002,0.00012961838585567875,1.1231832666779246e-05,PASS
Base_v12,CRPOTH,2050,13.720672196632867,13.720799999999997,0.0001278033671301415,9.314657860677205e-06,PASS
Base_v12,CRPOTH,2053,13.720672196632867,13.720799999999997,0.0001278033671301415,9.314657860677205e-06,PASS
Base_v12,CRPRCP,2020,19.29485551,19.295799999999993,0.0009444899999913048,4.8950353606006594e-05,PASS
Base_v12,CRPRCP,2030,22.047445678060225,22.047300000000007,-0.0001456780602175911,-6.607480174565426e-06,PASS
Base_v12,CRPRCP,2050,26.213057833002235,26.21299999999999,-5.7833002244933596e-05,-2.206266915267011e-06,PASS
Base_v12,CRPRCP,2053,26.213057833002235,26.21299999999999,-5.7833002244933596e-05,-2.206266915267011e-06,PASS
Base_v12,CRPSGC,2020,24.39894125,24.399599999999985,0.0006587499999852753,2.6999122348609092e-05,PASS
Base_v12,CRPSGC,2030,27.879676607723805,27.8796,-7.660772380546632e-05,-2.747798150005903e-06,PASS
Base_v12,CRPSGC,2050,33.14722194829609,33.147499999999994,0.000278051703901383,8.388386343057508e-06,PASS
Base_v12,CRPSGC,2053,33.14722194829609,33.14749999999999,0.0002780517038942776,8.388386342843147e-06,PASS
Base_v12,CRPTOM,2020,5.49826559,5.4996,0.0013344100000001191,0.00024269653369002117,PASS
Base_v12,CRPTOM,2030,6.282644192709621,6.282600000000002,-4.4192709618862125e-05,-7.034093967973442e-06,PASS
Base_v12,CRPTOM,2050,7.469677801794337,7.4694,-0.0002778017943363409,-3.719059934146135e-05,PASS
Base_v12,CRPTOM,2053,7.469677801794337,7.4694,-0.0002778017943363409,-3.719059934146135e-05,PASS
PEP_v12,CRPCON,2020,14.49092269,14.491099999999998,0.0001773099999979877,1.2235935819348968e-05,PASS
PEP_v12,CRPCON,2030,16.55818726743838,16.5578,-0.00038726743838068955,-2.3388275064520478e-05,PASS
PEP_v12,CRPCON,2050,19.686666963101516,19.68649999999999,-0.00016696310152397587,-8.481024331691739e-06,PASS
PEP_v12,CRPCON,2053,19.686666963101516,19.686599999999995,-6.696310152065621e-05,-3.4014443199635746e-06,PASS
PEP_v12,CRPMZE,2020,8.11854588,8.119199999999998,0.0006541199999983149,8.057107881963648e-05,PASS
PEP_v12,CRPMZE,2030,9.276731778653243,9.276599999999998,-0.00013177865324465188,-1.4205288714705401e-05,PASS
PEP_v12,CRPMZE,2050,11.029463919127425,11.029800000000005,0.0003360808725805242,3.047118835918116e-05,PASS
PEP_v12,CRPMZE,2053,11.029463919127425,11.029800000000005,0.0003360808725805242,3.047118835918116e-05,PASS
