year,technology_group,observed_pj,v20_pj,v21_pj,v20_error_pj,v21_error_pj
2020,coal,209.4336,226.32219999999998,205.87140000000002,16.88859999999997,-3.56219999999999
2020,gas,70.1892,77.52470000000002,77.52480000000003,7.335500000000025,7.335600000000028
2020,oil,8.9064,0.0,5.4209,-8.9064,-3.4855
2020,biomass,4.5396,0.0,5.0296,-4.5396,0.4900000000000002
2020,hydro,25.8912,19.075799999999987,29.40956088066221,-6.815400000000015,3.5183608806622075
2020,geothermal,38.7252,42.56359999999997,42.5637,3.8383999999999716,3.8384999999999962
2020,solar,4.9428,5.827600000000002,5.827593311371624,0.884800000000002,0.8847933113716238
2020,wind,3.6936,3.0691999999999995,3.068545807966177,-0.6244000000000005,-0.6250541920338231
2021,coal,223.3872,242.91679999999997,222.18050000000002,19.52959999999996,-1.2066999999999837
2021,gas,68.616,58.30750000000002,58.30750000000002,-10.308499999999981,-10.308499999999981
2021,oil,5.8176,0.0,0.0,-5.8176,-5.8176
2021,biomass,5.202,0.0,5.029699999999999,-5.202,-0.17230000000000079
2021,hydro,33.066,19.075799999999987,29.15660000000001,-13.990200000000016,-3.909399999999991
2021,geothermal,36.0576,42.56369999999999,42.563599999999994,6.506099999999989,6.505999999999993
2021,solar,5.292,5.827600000000002,5.7866,0.5356000000000023,0.49460000000000015
2021,wind,4.572,3.0691999999999995,2.9585999999999997,-1.5028000000000006,-1.6134000000000004
2022,coal,239.148,273.39070000000004,254.6634,34.24270000000004,15.5154
2022,gas,64.3824,45.71000000000002,43.129599999999996,-18.672399999999982,-21.252800000000008
2022,oil,9.0684,0.0,0.0,-9.0684,-9.0684
2022,biomass,4.7592,0.0,5.029699999999999,-4.7592,0.2704999999999993
2022,hydro,36.306,19.075799999999987,29.15660000000001,-17.23020000000001,-7.149399999999986
2022,geothermal,37.53,42.5637,42.56369999999998,5.033699999999996,5.033699999999982
2022,solar,6.5592,5.827600000000002,5.7866,-0.7315999999999976,-0.7725999999999997
2022,wind,3.708,3.0691999999999995,2.9585999999999997,-0.6388000000000007,-0.7494000000000005
2023,coal,265.5144,323.6204000000001,304.5470000000002,58.10600000000005,39.03260000000017
2023,gas,60.0048,24.331399999999995,21.767099999999996,-35.67340000000001,-38.237700000000004
2023,oil,4.6944,0.0,0.0,-4.6944,-4.6944
2023,biomass,5.0724,0.0,5.029699999999999,-5.0724,-0.04270000000000085
2023,hydro,37.0332,19.075799999999987,29.15660000000001,-17.957400000000014,-7.876599999999989
2023,geothermal,38.628,31.8679,31.867900000000002,-6.760100000000001,-6.760099999999998
2023,solar,9.1584,5.827600000000002,5.7866,-3.330799999999998,-3.3718000000000004
2023,wind,4.7088,3.0691999999999995,2.9585999999999997,-1.6396000000000006,-1.7502000000000004
2024,coal,285.6924,360.35930000000013,343.2492000000002,74.66690000000011,57.55680000000018
2024,gas,64.9692,5.9535,1.1418,-59.0157,-63.8274
2024,oil,4.8312,0.0,0.0,-4.8312,-4.8312
2024,biomass,5.2056,0.0,5.029699999999999,-5.2056,-0.1759000000000004
2024,hydro,39.2724,19.075799999999987,29.156500000000012,-20.19660000000001,-10.115899999999986
2024,geothermal,38.8404,31.8678,31.867800000000003,-6.9726000000000035,-6.9726
2024,solar,13.7196,5.827600000000002,5.7866,-7.891999999999998,-7.933
2024,wind,4.4604,3.0691999999999995,2.9585999999999997,-1.3912000000000004,-1.5018000000000002
