cache_filename,model_crop_code,gaez_crop,model_variable,gaez_name,input_level,water_supply,available_water_content,climate_model,pathway,time_period,source_unit,download_url,file_identifier,selection_table,selection_table_csv_line
CAS yld Irrigation High.tif,CAS,Cassava,yld,casv200a_yld,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/casv200a_yld.tif,325542,GAEZ_yld_High_Input.csv,332
CAS yld Irrigation Low.tif,CAS,Cassava,yld,casv200a_yld,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/casv200a_yld.tif,278310,GAEZ_yld_Low_Input.csv,24
CAS yld Rain-fed High.tif,CAS,Cassava,yld,casv200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/casv200b_yld.tif,329590,GAEZ_yld_High_Input.csv,333
CAS yld Rain-fed Low.tif,CAS,Cassava,yld,casv200b_yld,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/casv200b_yld.tif,282358,GAEZ_yld_Low_Input.csv,25
CON cwd Irrigation High.tif,CON,Coconut,cwd,cocn200a_wde,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200a_wde.tif,328731,GAEZ_cwd_High_Input.csv,342
CON cwd Irrigation Low.tif,CON,Coconut,cwd,cocn200a_wde,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200a_wde.tif,281499,GAEZ_cwd_Low_Input.csv,34
CON cwd Rain-fed High.tif,CON,Coconut,cwd,cocn200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200b_wde.tif,325486,GAEZ_cwd_High_Input.csv,343
CON cwd Rain-fed Low.tif,CON,Coconut,cwd,cocn200b_wde,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200b_wde.tif,278254,GAEZ_cwd_Low_Input.csv,35
CON evt Irrigation High.tif,CON,Coconut,evt,cocn200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200a_eta.tif,326493,GAEZ_evt_High_Input.csv,342
CON evt Irrigation Low.tif,CON,Coconut,evt,cocn200a_eta,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200a_eta.tif,279261,GAEZ_evt_Low_Input.csv,34
CON evt Rain-fed High.tif,CON,Coconut,evt,cocn200b_eta,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200b_eta.tif,327092,GAEZ_evt_High_Input.csv,343
CON evt Rain-fed Low.tif,CON,Coconut,evt,cocn200b_eta,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200b_eta.tif,279860,GAEZ_evt_Low_Input.csv,35
CON yld Irrigation High.tif,CON,Coconut,yld,cocn200a_yld,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200a_yld.tif,328981,GAEZ_yld_High_Input.csv,342
CON yld Irrigation Low.tif,CON,Coconut,yld,cocn200a_yld,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200a_yld.tif,281749,GAEZ_yld_Low_Input.csv,34
CON yld Rain-fed High.tif,CON,Coconut,yld,cocn200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200b_yld.tif,326969,GAEZ_yld_High_Input.csv,343
